id,client_id,sale_date,sale_city,model_id
81,GA1.2.577751978.1579903186,2020-01-25,Voronezh,14
82,GA1.2.569586337.1580530544,2020-02-01,Voronezh,12
83,GA1.2.466176231.1572363523,2020-01-17,Voronezh,14
84,GA1.2.37323997.1579008822,2020-01-14,Voronezh,14
85,GA1.2.342503885.1578506265,2020-01-08,Voronezh,14
86,GA1.2.338693088.1578489929,2020-01-08,Voronezh,11
87,GA1.2.33300858.1580378853,2020-01-30,Voronezh,6
88,GA1.2.279023649.1579421234,2020-01-19,Voronezh,15
89,GA1.2.277851924.1581367396,2020-02-10,Voronezh,16
90,GA1.2.255899681.1564687970,2020-01-11,Voronezh,14
91,GA1.2.255899681.1564687970,2020-02-02,Voronezh,10
92,GA1.2.25348209.1581620084,2020-02-13,Voronezh,7
93,GA1.2.2125446764.1578378289,2020-01-07,Voronezh,6
94,GA1.2.2125446764.1578378289,2020-01-07,Voronezh,14
95,GA1.2.2119776686.1581338240,2020-02-10,Voronezh,15
96,GA1.2.2112185644.1579035221,2020-01-15,Voronezh,12
97,GA1.2.2050113806.1578212477,2020-01-05,Voronezh,15
98,GA1.2.2035865878.1580983631,2020-02-06,Voronezh,15
99,GA1.2.203383780.1580285691,2020-01-29,Voronezh,9
100,GA1.2.2018603228.1577669791,2020-01-11,Voronezh,9
101,GA1.2.1984925820.1578807603,2020-01-12,Voronezh,3
102,GA1.2.1977043095.1581088298,2020-02-07,Voronezh,16
103,GA1.2.1960204614.1578491330,2020-01-15,Voronezh,16
104,GA1.2.1958536038.1581365629,2020-02-10,Voronezh,8
105,GA1.2.1913233028.1579109754,2020-01-16,Voronezh,8
106,GA1.2.1900101703.1578692959,2020-02-04,Voronezh,15
107,GA1.2.1890391996.1577106596,2020-01-13,Voronezh,16
108,GA1.2.1852457206.1579266432,2020-01-17,Voronezh,14
109,GA1.2.1834135156.1579250157,2020-01-17,Voronezh,3
110,GA1.2.1773064735.1578896333,2020-01-13,Voronezh,15
111,GA1.2.1755736714.1577931014,2020-01-02,Voronezh,16
112,GA1.2.1748119907.1581448102,2020-02-11,Voronezh,16
113,GA1.2.1743966047.1579367303,2020-01-18,Voronezh,10
114,GA1.2.1717267839.1579759957,2020-02-07,Voronezh,13
115,GA1.2.1626121207.1576972530,2020-01-02,Voronezh,16
116,GA1.2.1612031744.1579279093,2020-01-17,Voronezh,16
117,GA1.2.1602256437.1580503946,2020-02-01,Voronezh,10
118,GA1.2.1437739060.1578233269,2020-01-05,Voronezh,15
119,GA1.2.1426047744.1580173473,2020-01-28,Voronezh,9
120,GA1.2.141132015.1581331457,2020-02-10,Voronezh,10
121,GA1.2.1404398161.1579541708,2020-01-20,Voronezh,9
122,GA1.2.140143645.1580117656,2020-01-27,Voronezh,9
123,GA1.2.1393397981.1546539758,2020-01-05,Voronezh,13
124,GA1.2.1392042626.1581419937,2020-02-11,Voronezh,8
125,GA1.2.1303024808.1577914237,2020-01-16,Voronezh,2
126,GA1.2.1239985430.1579857535,2020-01-24,Voronezh,5
127,GA1.2.1235885900.1581017161,2020-02-06,Voronezh,7
128,GA1.2.1229626477.1578438088,2020-01-08,Voronezh,8
129,GA1.2.122871198.1580576969,2020-02-01,Voronezh,5
130,GA1.2.1105298370.1579236160,2020-01-17,Voronezh,10
131,GA1.2.1085834180.1581107400,2020-02-07,Voronezh,16
132,GA1.2.1051427932.1577020209,2020-01-18,Voronezh,8
133,GA1.2.1034537815.1578832762,2020-01-12,Voronezh,16
134,GA1.2.103321415.1581368283,2020-02-10,Voronezh,9
135,GA1.2.1031845493.1581437829,2020-02-11,Voronezh,9
136,GA1.2.459137152.1575543894,2020-01-09,Volgograd,13
137,GA1.2.788011116.1580148890,2020-01-27,Volgodonsk,14
138,GA1.2.1065481481.1578684140,2020-01-10,Volgodonsk,12
139,GA1.2.2020451512.1581296316,2020-02-10,Vladivostok,9
140,GA1.2.1855218519.1579076548,2020-01-15,Vladimir,15
141,GA1.2.1453445865.1578910955,2020-01-13,Vladimir,13
142,GA1.2.790684486.1580924979,2020-02-05,Vladikavkaz,14
143,GA1.2.758025461.1578558202,2020-01-09,Vladikavkaz,4
144,GA1.2.712000410.1578251807,2020-01-05,Vladikavkaz,13
145,GA1.2.490620123.1578498203,2020-01-08,Vladikavkaz,3
146,GA1.2.437768038.1580193152,2020-01-28,Vladikavkaz,13
147,GA1.2.291750809.1578167705,2020-01-06,Vladikavkaz,16
148,GA1.2.282738636.1579864518,2020-01-24,Vladikavkaz,12
149,GA1.2.1866905182.1580323457,2020-01-29,Vladikavkaz,15
150,GA1.2.1819289066.1578261355,2020-01-06,Vladikavkaz,16
151,GA1.2.1707471955.1579465728,2020-01-19,Vladikavkaz,15
152,GA1.2.123091468.1579097999,2020-01-15,Vladikavkaz,10
153,GA1.2.1081703882.1579239995,2020-01-17,Vladikavkaz,15
154,GA1.2.260974575.1577981718,2020-01-02,Vidnoye,9
155,GA1.2.171035609.1579095850,2020-01-15,Vidnoye,14
156,GA1.2.196699356.1580328548,2020-02-01,Ust-Labinsk,10
157,GA1.2.1638217820.1580801784,2020-02-04,Ust-Labinsk,14
158,GA1.2.1835434069.1581262556,2020-02-09,Ukhta,16
159,GA1.2.893451365.1581105082,2020-02-07,Ufa,9
160,GA1.2.86119523.1580048514,2020-01-26,Ufa,9
161,GA1.2.82530481.1580049052,2020-01-26,Ufa,7
162,GA1.2.805165193.1581088691,2020-02-07,Ufa,9
163,GA1.2.55808378.1578485087,2020-01-08,Ufa,15
164,GA1.2.465608789.1564423158,2020-01-10,Ufa,7
165,GA1.2.360062241.1578308482,2020-01-06,Ufa,16
166,GA1.2.224261092.1580935461,2020-02-06,Ufa,15
167,GA1.2.1909478240.1581871982,2020-02-16,Ufa,15
168,GA1.2.181453165.1578188836,2020-01-05,Ufa,10
169,GA1.2.1230833484.1578126229,2020-01-04,Ufa,9
170,GA1.2.1113771862.1543846691,2020-01-25,Ufa,16
171,GA1.2.1113771862.1543846691,2020-02-01,Ufa,10
172,GA1.2.1096485869.1578941656,2020-01-13,Ufa,6
173,GA1.2.1049206251.1578071426,2020-01-03,Ufa,9
174,GA1.2.986468019.1579202278,2020-01-16,Tver,7
175,GA1.2.789946297.1580735847,2020-02-03,Tver,13
176,GA1.2.1859521081.1579082302,2020-01-15,Tver,9
177,GA1.2.1354764931.1579496276,2020-01-21,Tver,9
178,GA1.2.925083354.1581532783,2020-02-12,Tuapse,15
179,GA1.2.772647893.1579461699,2020-01-19,Tuapse,7
180,GA1.2.622710771.1578239699,2020-01-05,Tuapse,13
181,GA1.2.619183676.1575603627,2020-01-10,Tuapse,5
182,GA1.2.587581751.1570872776,2020-02-01,Tuapse,16
183,GA1.2.581774930.1577985789,2020-01-02,Tuapse,16
184,GA1.2.433267354.1580417874,2020-01-30,Tuapse,9
185,GA1.2.409960014.1578324865,2020-01-06,Tuapse,1
186,GA1.2.321199423.1581314000,2020-02-10,Tuapse,2
187,GA1.2.272797906.1580737609,2020-02-03,Tuapse,12
188,GA1.2.2076300561.1581088510,2020-02-07,Tuapse,8
189,GA1.2.2076300561.1581088510,2020-02-07,Tuapse,14
190,GA1.2.2049741117.1581080170,2020-02-07,Tuapse,12
191,GA1.2.2029335583.1578095987,2020-02-03,Tuapse,6
192,GA1.2.2029335583.1578095987,2020-02-05,Tuapse,5
193,GA1.2.2028120916.1578233704,2020-01-05,Tuapse,3
194,GA1.2.2028120916.1578233704,2020-01-05,Tuapse,16
195,GA1.2.2022505985.1581015370,2020-02-06,Tuapse,15
196,GA1.2.1972587894.1581092025,2020-02-07,Tuapse,10
197,GA1.2.1941327047.1580280446,2020-01-29,Tuapse,9
198,GA1.2.1865404594.1579800790,2020-01-23,Tuapse,10
199,GA1.2.1810467959.1578134975,2020-01-11,Tuapse,7
200,GA1.2.1805738499.1565509161,2020-02-16,Tuapse,11
201,GA1.2.1644759751.1579067439,2020-01-15,Tuapse,9
202,GA1.2.1518846966.1580238498,2020-01-28,Tuapse,10
203,GA1.2.1506810905.1581222995,2020-02-09,Tuapse,9
204,GA1.2.1474466565.1581174779,2020-02-08,Tuapse,5
205,GA1.2.1320983124.1577652518,2020-01-04,Tuapse,15
206,GA1.2.1319944049.1581053501,2020-02-07,Tuapse,15
207,GA1.2.1247144636.1573239426,2020-01-16,Tuapse,9
208,GA1.2.1233813777.1578391536,2020-01-08,Tuapse,8
209,GA1.2.859525421.1578903091,2020-01-13,Tschernomorski,9
210,GA1.2.489247480.1579960990,2020-01-25,Tschernomorski,11
211,GA1.2.1870442882.1580567018,2020-02-01,Tschernomorski,16
212,GA1.2.681735559.1581004639,2020-02-06,Tomsk,16
213,GA1.2.587798529.1580268861,2020-01-29,Tomsk,13
214,GA1.2.582992093.1578233840,2020-01-05,Tomsk,6
215,GA1.2.438217554.1581862835,2020-02-16,Tomsk,10
216,GA1.2.1656708529.1579635002,2020-01-21,Tomsk,9
217,GA1.2.1294025228.1580643782,2020-02-02,Tomsk,15
218,GA1.2.925160878.1581600532,2020-02-13,Tikhoretsk,10
219,GA1.2.773582453.1578565832,2020-01-09,Tikhoretsk,9
220,GA1.2.732163459.1572173028,2020-02-15,Tikhoretsk,14
221,GA1.2.573942083.1581012257,2020-02-11,Tikhoretsk,15
222,GA1.2.571237713.1577386650,2020-01-03,Tikhoretsk,10
223,GA1.2.571237713.1577386650,2020-01-03,Tikhoretsk,8
224,GA1.2.571237713.1577386650,2020-01-08,Tikhoretsk,16
225,GA1.2.571237713.1577386650,2020-01-08,Tikhoretsk,9
226,GA1.2.1992477038.1580487725,2020-01-31,Tikhoretsk,15
227,GA1.2.1827053618.1577507229,2020-01-01,Tikhoretsk,16
228,GA1.2.174918404.1578679179,2020-01-11,Tikhoretsk,7
229,GA1.2.1069266383.1580233578,2020-01-28,Tikhoretsk,10
230,GA1.2.1456204387.1572284765,2020-02-11,Tbilisskaya,7
231,GA1.2.1456204387.1572284765,2020-02-11,Tbilisskaya,13
232,GA1.2.82224699.1565608248,2020-01-16,Tashkent,10
233,GA1.2.1383540893.1578298894,2020-01-06,Tambov,14
234,GA1.2.724105848.1581164679,2020-02-08,Taganrog,7
235,GA1.2.371851582.1578999650,2020-01-14,Taganrog,14
236,GA1.2.356246822.1579608967,2020-01-21,Taganrog,10
237,GA1.2.1699844759.1580845521,2020-02-04,Taganrog,13
238,GA1.2.1323112975.1581615265,2020-02-13,Svetlograd,12
239,GA1.2.859028881.1580380950,2020-01-30,Surgut,10
240,GA1.2.525481200.1577987381,2020-01-03,Surgut,15
241,GA1.2.262184102.1576793469,2020-01-20,Surgut,9
242,GA1.2.1636669364.1578291398,2020-01-20,Surgut,5
243,GA1.2.1272276323.1581764581,2020-02-15,Surgut,7
244,GA1.2.1077940543.1581350626,2020-02-10,Surgut,5
245,GA1.2.960784881.1581156089,2020-02-08,Stavropol,10
246,GA1.2.951074183.1578160778,2020-01-04,Stavropol,16
247,GA1.2.942414637.1580980992,2020-02-06,Stavropol,15
248,GA1.2.932518580.1580143898,2020-01-27,Stavropol,6
249,GA1.2.920709282.1578838601,2020-01-12,Stavropol,16
250,GA1.2.909399632.1581323474,2020-02-10,Stavropol,3
251,GA1.2.898466939.1576212731,2020-01-19,Stavropol,12
252,GA1.2.867271758.1579599461,2020-01-21,Stavropol,16
253,GA1.2.863556419.1581430603,2020-02-11,Stavropol,14
254,GA1.2.861254746.1577468720,2020-01-15,Stavropol,10
255,GA1.2.858765491.1579452312,2020-01-19,Stavropol,9
256,GA1.2.85736129.1579282400,2020-01-17,Stavropol,12
257,GA1.2.846844596.1581537017,2020-02-12,Stavropol,15
258,GA1.2.822365430.1579543976,2020-01-20,Stavropol,15
259,GA1.2.770490992.1579700322,2020-01-22,Stavropol,10
260,GA1.2.760814348.1581746117,2020-02-15,Stavropol,2
261,GA1.2.752477866.1580055210,2020-01-26,Stavropol,5
262,GA1.2.746925748.1579106508,2020-01-15,Stavropol,16
263,GA1.2.733577592.1581223484,2020-02-09,Stavropol,10
264,GA1.2.708392348.1580470016,2020-02-04,Stavropol,16
265,GA1.2.693371633.1581845729,2020-02-16,Stavropol,13
266,GA1.2.693085558.1580564861,2020-02-03,Stavropol,6
267,GA1.2.667809747.1575184744,2020-01-02,Stavropol,15
268,GA1.2.663479097.1578634763,2020-01-16,Stavropol,9
269,GA1.2.654807619.1574752682,2020-01-06,Stavropol,10
270,GA1.2.647445637.1579424205,2020-01-19,Stavropol,14
271,GA1.2.644495629.1579456643,2020-01-23,Stavropol,9
272,GA1.2.591374797.1578812625,2020-01-12,Stavropol,9
273,GA1.2.568742638.1580339214,2020-01-30,Stavropol,8
274,GA1.2.556284300.1579618878,2020-01-21,Stavropol,7
275,GA1.2.554660645.1578337911,2020-01-07,Stavropol,15
276,GA1.2.528489419.1576263235,2020-01-09,Stavropol,9
277,GA1.2.526126297.1581185892,2020-02-08,Stavropol,13
278,GA1.2.524932609.1580992453,2020-02-06,Stavropol,8
279,GA1.2.515020696.1581496187,2020-02-12,Stavropol,4
280,GA1.2.508690421.1580652369,2020-02-02,Stavropol,15
281,GA1.2.482366268.1580542250,2020-02-01,Stavropol,15
282,GA1.2.477439250.1581078033,2020-02-10,Stavropol,9
283,GA1.2.473959856.1579118965,2020-01-15,Stavropol,5
284,GA1.2.45620297.1579366457,2020-01-19,Stavropol,10
285,GA1.2.452899581.1578465356,2020-01-10,Stavropol,15
286,GA1.2.439254939.1581868478,2020-02-16,Stavropol,16
287,GA1.2.411103501.1581673061,2020-02-14,Stavropol,9
288,GA1.2.336124451.1578258077,2020-01-12,Stavropol,14
289,GA1.2.334581900.1578121627,2020-01-04,Stavropol,14
290,GA1.2.31904549.1578820267,2020-01-12,Stavropol,16
291,GA1.2.300021199.1579528415,2020-01-27,Stavropol,15
292,GA1.2.300021199.1579528415,2020-01-27,Stavropol,1
293,GA1.2.289115403.1579442127,2020-01-19,Stavropol,15
294,GA1.2.277983792.1578249123,2020-01-05,Stavropol,13
295,GA1.2.248868942.1574699329,2020-01-05,Stavropol,15
296,GA1.2.2134786694.1581520728,2020-02-12,Stavropol,6
297,GA1.2.2115020243.1581014728,2020-02-11,Stavropol,10
298,GA1.2.2114288440.1578472343,2020-01-08,Stavropol,15
299,GA1.2.2101713060.1580906003,2020-02-05,Stavropol,8
300,GA1.2.2101713060.1580906003,2020-02-05,Stavropol,16
301,GA1.2.2094149040.1578819064,2020-01-31,Stavropol,12
302,GA1.2.2068311865.1579815821,2020-01-24,Stavropol,16
303,GA1.2.2066812105.1581406716,2020-02-11,Stavropol,16
304,GA1.2.2061105289.1581101195,2020-02-07,Stavropol,7
305,GA1.2.2061105289.1581101195,2020-02-07,Stavropol,10
306,GA1.2.2046122118.1575123612,2020-02-02,Stavropol,15
307,GA1.2.2040837128.1578385746,2020-01-07,Stavropol,14
308,GA1.2.2022229880.1579241736,2020-01-17,Stavropol,13
309,GA1.2.2018226272.1571064342,2020-01-22,Stavropol,6
310,GA1.2.201324414.1578921474,2020-01-13,Stavropol,12
311,GA1.2.2001599341.1580414407,2020-01-30,Stavropol,15
312,GA1.2.1994746241.1581664096,2020-02-14,Stavropol,10
313,GA1.2.1988676061.1575585119,2020-02-03,Stavropol,16
314,GA1.2.1965179191.1579774195,2020-01-23,Stavropol,15
315,GA1.2.1954208240.1579548928,2020-01-20,Stavropol,15
316,GA1.2.1950428694.1579584231,2020-01-21,Stavropol,16
317,GA1.2.1947683893.1581500294,2020-02-12,Stavropol,7
318,GA1.2.1927367394.1581929474,2020-02-17,Stavropol,15
319,GA1.2.1913564858.1581156508,2020-02-08,Stavropol,4
320,GA1.2.1890303083.1580129517,2020-02-01,Stavropol,9
321,GA1.2.1884732015.1580802968,2020-02-05,Stavropol,9
322,GA1.2.1876025071.1580470048,2020-01-31,Stavropol,8
323,GA1.2.1869960081.1581423015,2020-02-11,Stavropol,8
324,GA1.2.1868646081.1578143448,2020-01-06,Stavropol,15
325,GA1.2.185483161.1573458674,2020-01-04,Stavropol,14
326,GA1.2.183471005.1578291133,2020-01-06,Stavropol,12
327,GA1.2.1831478948.1566806662,2020-01-13,Stavropol,16
328,GA1.2.1824376224.1580666459,2020-02-02,Stavropol,8
329,GA1.2.1816505038.1579771948,2020-01-24,Stavropol,16
330,GA1.2.1808849365.1578493987,2020-01-09,Stavropol,5
331,GA1.2.1735451230.1581887931,2020-02-17,Stavropol,14
332,GA1.2.1705884985.1580571064,2020-02-01,Stavropol,8
333,GA1.2.1681337492.1580651992,2020-02-02,Stavropol,16
334,GA1.2.1624702051.1579633560,2020-01-21,Stavropol,9
335,GA1.2.1574145426.1579907924,2020-01-25,Stavropol,8
336,GA1.2.1571313637.1575186487,2020-01-31,Stavropol,9
337,GA1.2.1571313637.1575186487,2020-02-15,Stavropol,9
338,GA1.2.1567847520.1578986801,2020-01-14,Stavropol,9
339,GA1.2.1550458985.1579029658,2020-02-13,Stavropol,10
340,GA1.2.1547841949.1580815500,2020-02-04,Stavropol,11
341,GA1.2.1509831056.1572417888,2020-01-04,Stavropol,15
342,GA1.2.1433832413.1579200738,2020-01-17,Stavropol,16
343,GA1.2.1421396110.1578251706,2020-01-05,Stavropol,16
344,GA1.2.1420580902.1581532593,2020-02-12,Stavropol,8
345,GA1.2.1386717421.1581591416,2020-02-13,Stavropol,11
346,GA1.2.1381009904.1581790002,2020-02-15,Stavropol,16
347,GA1.2.1375152889.1577993895,2020-01-02,Stavropol,8
348,GA1.2.1360666527.1578144118,2020-01-08,Stavropol,16
349,GA1.2.1358159018.1578353281,2020-01-24,Stavropol,15
350,GA1.2.1352835748.1580673787,2020-02-02,Stavropol,8
351,GA1.2.1322163294.1578382161,2020-01-07,Stavropol,6
352,GA1.2.1318030336.1575403870,2020-02-04,Stavropol,5
353,GA1.2.1311347123.1577005939,2020-01-27,Stavropol,14
354,GA1.2.126860047.1580569962,2020-02-01,Stavropol,15
355,GA1.2.1249097580.1578555845,2020-01-09,Stavropol,7
356,GA1.2.1241388769.1580147833,2020-01-27,Stavropol,15
357,GA1.2.1234851450.1580246134,2020-01-29,Stavropol,16
358,GA1.2.1230338766.1580796557,2020-02-04,Stavropol,12
359,GA1.2.1220730761.1579727937,2020-01-23,Stavropol,14
360,GA1.2.1219335538.1573467544,2020-01-30,Stavropol,16
361,GA1.2.121558884.1580220872,2020-02-17,Stavropol,15
362,GA1.2.1208472684.1579171301,2020-01-16,Stavropol,10
363,GA1.2.1182636310.1578750004,2020-02-15,Stavropol,14
364,GA1.2.1137898695.1580229158,2020-01-28,Stavropol,10
365,GA1.2.1137898695.1580229158,2020-01-28,Stavropol,16
366,GA1.2.1114066559.1572971732,2020-01-24,Stavropol,15
367,GA1.2.1109740483.1577031531,2020-01-08,Stavropol,15
368,GA1.2.1094359259.1579778348,2020-01-23,Stavropol,8
369,GA1.2.1058747238.1579323238,2020-01-20,Stavropol,8
370,GA1.2.105859270.1579259623,2020-01-17,Stavropol,6
371,GA1.2.1007146808.1579276187,2020-01-17,Stavropol,7
372,GA1.2.1003952348.1580578186,2020-02-01,Stavropol,9
373,GA1.2.520749849.1580988841,2020-02-06,Sokhumi,4
374,GA1.2.1498112615.1581334149,2020-02-10,Sokhumi,3
375,GA1.2.1204146892.1581870608,2020-02-16,Sokhumi,13
376,GA1.2.999215476.1579180423,2020-01-25,Sochi,9
377,GA1.2.999067429.1570186780,2020-01-13,Sochi,10
378,GA1.2.984289288.1580310012,2020-01-29,Sochi,15
379,GA1.2.973826567.1581567171,2020-02-13,Sochi,7
380,GA1.2.970876186.1577951611,2020-01-05,Sochi,9
381,GA1.2.966815349.1578734970,2020-01-11,Sochi,3
382,GA1.2.960987012.1573793906,2020-02-06,Sochi,15
383,GA1.2.955753493.1576184226,2020-01-10,Sochi,9
384,GA1.2.951191823.1577212102,2020-01-04,Sochi,9
385,GA1.2.948389244.1579760953,2020-01-23,Sochi,16
386,GA1.2.911673049.1578669079,2020-01-10,Sochi,8
387,GA1.2.908293048.1581000786,2020-02-06,Sochi,14
388,GA1.2.907691667.1579096151,2020-01-15,Sochi,16
389,GA1.2.903048041.1565348319,2020-01-30,Sochi,6
390,GA1.2.891487735.1577711873,2020-01-28,Sochi,10
391,GA1.2.886425075.1578659192,2020-02-06,Sochi,3
392,GA1.2.872850670.1579110490,2020-01-15,Sochi,14
393,GA1.2.845384241.1581759359,2020-02-15,Sochi,16
394,GA1.2.844941872.1579845190,2020-01-24,Sochi,7
395,GA1.2.83990118.1581329220,2020-02-10,Sochi,7
396,GA1.2.834830510.1544888542,2020-01-13,Sochi,7
397,GA1.2.831803664.1580908509,2020-02-05,Sochi,9
398,GA1.2.826105670.1580986518,2020-02-06,Sochi,4
399,GA1.2.82231079.1563097113,2020-01-11,Sochi,16
400,GA1.2.82231079.1563097113,2020-01-12,Sochi,9
401,GA1.2.815348232.1565359170,2020-01-08,Sochi,15
402,GA1.2.815348232.1565359170,2020-01-20,Sochi,8
403,GA1.2.811511548.1580670671,2020-02-02,Sochi,9
404,GA1.2.801395291.1580328668,2020-01-29,Sochi,16
405,GA1.2.796416072.1576972302,2020-01-02,Sochi,11
406,GA1.2.793256949.1579288846,2020-01-17,Sochi,15
407,GA1.2.789852985.1578579095,2020-01-31,Sochi,9
408,GA1.2.787370070.1581695453,2020-02-14,Sochi,6
409,GA1.2.786473661.1579329049,2020-01-18,Sochi,16
410,GA1.2.78406981.1579674008,2020-01-22,Sochi,6
411,GA1.2.763841929.1580992531,2020-02-06,Sochi,15
412,GA1.2.759950084.1541770859,2020-01-04,Sochi,10
413,GA1.2.757504073.1579191986,2020-01-18,Sochi,8
414,GA1.2.757352775.1580192263,2020-01-28,Sochi,8
415,GA1.2.753437469.1579178360,2020-01-16,Sochi,8
416,GA1.2.753437469.1579178360,2020-01-16,Sochi,16
417,GA1.2.753375566.1573942052,2020-01-10,Sochi,10
418,GA1.2.753375566.1573942052,2020-01-13,Sochi,9
419,GA1.2.753144725.1578929044,2020-01-13,Sochi,16
420,GA1.2.752122958.1578057012,2020-01-03,Sochi,15
421,GA1.2.749934958.1579804115,2020-01-23,Sochi,3
422,GA1.2.744950262.1581306465,2020-02-10,Sochi,16
423,GA1.2.741966245.1579149263,2020-01-16,Sochi,10
424,GA1.2.738828381.1579035760,2020-01-15,Sochi,3
425,GA1.2.735298125.1578554664,2020-01-15,Sochi,6
